Questions,Answers
americano,Americano also called as black coffee. It is simply just hot water and espresso. It’ll be served 1/2 espresso to 1/2 water.
cuppuccino,"A cappuccino is the perfect balance of espresso, steamed milk and foam. "
latte,"A true latte will be made up of one or two shots of espresso, lots of steamed milk and a final, thin layer of frothed milk on top."
espresso,"Espresso is a delicious concentrated form of coffee, served in shots and it’s often the coffee base of many other beverages, such as cappuccino, latte, and americano."
mocha,"Mocha is a shot of espresso is combined with a chocolate powder or syrup, followed by milk or cream."
macchiato,"The macchiato is an espresso coffee drink, topped with a small amount of foamed or steamed milk to allow the taste of the espresso to still shine through."
flat white,A flat white is a blend of micro-foamed milk poured over a single or double shot of espresso.
black tea,"Black Tea also known as Red Tea is a type of tea that is more oxidized than oolong, yellow, white and green teas. It has stronger in flavour compare to other teas."
what coffee bean are you using?,We are using Arabica here.
how much is a cup of americano price,It is £1.50
how much is a cup of cappuccino price,It is £1.80
how much is a cup of latte price,It is £1.80
how much is a cup of espresso price,It is £1.50
how much is a cup of mocha price,It is £2.10
how much is a cup of flat white price,It is £2.10
how much is a cup of black tea price,It is £1.50
how much is a cup of macchiato price,It is £1.80
what are the types of tea,"There are many different types of tea; some have a cooling, slightly bitter, and astringent flavour, while others have vastly different profiles that include sweet, nutty, floral, or grassy notes."
what do you have,"Please key in ""menu"" to view the beverages we served."
can i have your recommendation,"It is highly depend on your taste of bitterness, sweetness and amount of milk. You can ask about the coffee or tea served in our menu to have an idea of their taste. However, the most popular coffee is cappuccino."
what is your recommendation?,"It is highly depend on your taste of bitterness, sweetness and amount of milk. You can ask about the coffee or tea served in our menu to have an idea of their taste. However, the most popular coffee is cappuccino."
what coffee do you sell,"Please key in ""menu"" to view the beverages we served."
decaf coffee,"Decaf is short for decaffeinated coffee, it has at least 97% of caffeine removed. Unfortunately, we do not sell decaf coffee, sorry for any inconvenience."
Where is your shop located?,"Our shop is located in Nottingham, England."
